event_id,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp
32957,2022-04-15,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,People's Defense Force - Myaing,Young Force-UG; Earthquake People's Defense Force - UG; PW Generation,3,Military Forces of Myanmar (2021-),,1,13,Southeast Asia,Myanmar,Magway,Pakokku,Pakokku,Pakokku,21.3349,95.0844,1,Democratic Voice of Burma,National,"On 15 April 2022, in Pakokku town (Pakokku township, Pakokku district, Magway region), the Myaing PDF, the Young Force-UG, Earthquake People's Defense Force - UG and the PW Generation fired 60 mm heavy artillery shells at the military forces stationed near the Technological University, Pakokku with At least five military soldiers were killed.",5,1650379020
32922,2022-04-13,2022,1,Explosions/Remote violence,Remote explosive/landmine/IED,People's Defense Force - Yesagyo,,3,Military Forces of Myanmar (2021-),,1,13,Southeast Asia,Myanmar,Magway,Pakokku,Yesagyo,Gwet Gyi,21.4826,95.2405,2,Democratic Voice of Burma,National,"On 13 April 2022, between Gwet Gyi and Ah Lel Thaung villages (coded as Gwet Gyi) (Yesagyo township, Pakokku district, Magway region), the Yesagyo PDF attacked a military vehicle coming from Sin Ma Ye village with mines at around 6 pm. Casualties unknown.",0,1650379020
32872,2022-04-12,2022,1,Explosions/Remote violence,Grenade,PKU N PDF: Pakokku North PDF,King Cobra-Khin U; Southern YSO PDF: Southern Yesagyo PDF,3,Military Forces of Myanmar (2021-),,1,13,Southeast Asia,Myanmar,Magway,Pakokku,Pakokku,Pakokku,21.3349,95.0844,1,Democratic Voice of Burma,National,"On 12 April 2022, in Pakokku town (Pakokku district, Magway region), the Pakokku North PDF (PKU N PDF) and its allies - King Cobra-Khin U, Southern YSO PDF - hurled a homemade explosive at military troops stationing at around 11 am on ASEAN Road, injuring three military troops. They also hurled a homemade explosive at the house of a person, who is accused of being a military informant, at around 1 pm on Industrial Road.",0,1650379020
32807,2022-04-11,2022,1,Explosions/Remote violence,Remote explosive/landmine/IED,Pyu Saw Htee,,3,Civilians (Myanmar),,7,37,Southeast Asia,Myanmar,Magway,Pakokku,Seikphyu,Shar Hla,21.2024,94.3774,1,Shwe Phee Myay News Agency,National,"On 11 April 2022, in Shar Hla village, Seikphyu township (Pakokku district, Magway region), landmines planted by the Pyu Saw Htee members exploded and killed a 40-year-old local civilian.",1,1650379021
32749,2022-04-10,2022,1,Explosions/Remote violence,Remote explosive/landmine/IED,People's Defense Force - Myaing,,3,Military Forces of Myanmar (2021-),,1,13,Southeast Asia,Myanmar,Magway,Pakokku,Myaing,Myaing,21.6125,94.8543,2,Shwe Phee Myay News Agency; Ministry of Defense - NUG,National,"On 10 April 2022, in Myaing township (Pakokku district, Magway region), the People's Defense Force (Myaing) attacked 15 Myanmar military soldiers from Kyauk Khwat Yay Nan Myay base with mines at 7:30 pm. There was 1 fatalities and at least 5 injuries from military side.",1,1650379020
32778,2022-04-10,2022,1,Explosions/Remote violence,Remote explosive/landmine/IED,MDA: Magway Division Army,,3,,,0,30,Southeast Asia,Myanmar,Magway,Magway,Magway,Magway,20.1496,94.9325,1,Democratic Voice of Burma,National,"On 10 April 2022, in Magway town of Magway township (Magway district, Magway region), the Myanmar Division Army (MDA) carried out a bomb attack against a pavilion constructed by the Myanmar military for celebration of the Thingyan Water Festival at around 8 pm.",0,1650379020
32731,2022-04-09,2022,1,Explosions/Remote violence,Remote explosive/landmine/IED,People's Defense Force - Pwintbyu,,3,,,0,30,Southeast Asia,Myanmar,Magway,Minbu,Pwintbyu,Pwintbyu,20.3633,94.6693,2,Democratic Voice of Burma,National,"On 9 April 2022, in Pwintbyu township (Minbu district, Magway region), the People's Defense Force (Pwintbyu) bombed the power transmission lines which were connected to the military cotton cultivation base in the noon time. The reason for the attack was that EPC had been cutting electricity to 30 villages in Pwintbyu township for not paying the bills. There were no casualties.",0,1650379020
32653,2022-04-08,2022,1,Explosions/Remote violence,Air/drone strike,YPDF: Yaw People's Defense Force,,3,Police Forces of Myanmar (2021-),,1,13,Southeast Asia,Myanmar,Magway,Gangaw,Saw,Saw,21.1498,94.1556,1,Democratic Voice of Burma,National,"On 8 April 2022, in Saw town (Saw township, Gangaw district, Magway region), the Drone and Weapon Technology Team of the Yaw People's Defense Force launched drone attacks against the Saw Myo Ma police station and communication office. Casualties unknown.",0,1649773383
32679,2022-04-08,2022,1,Explosions/Remote violence,Air/drone strike,Military Forces of Myanmar (2021-),,1,,,0,10,Southeast Asia,Myanmar,Magway,Minbu,Ngape,Ngape,20.0753,94.4676,1,BBC News,International,"On 8 April 2022, in Ngape town (Ngape township, Minbu district, Magway region), the Myanmar military conducted airstrike, forcing locals to flee. Casualties Unknown.",0,1650379020
32627,2022-04-07,2022,1,Explosions/Remote violence,Remote explosive/landmine/IED,People's Defense Force - Yesagyo,,3,Military Forces of Myanmar (2021-),,1,13,Southeast Asia,Myanmar,Magway,Pakokku,Yesagyo,Pa Khan Nge,21.5432,95.2506,2,Myanmar Labour News; Ministry of Defense - NUG,National,"On 7 April 2022, near Pa Khan Nge village (Yesagyo township, Pakokku district, Magway region), the Yesagyo PDF attacked military forces returning from Ye Lel Kyun with mines at around 1 am. Casualties unknown.",0,1649773383
